EmployeeID,Salary,Bonus,OvertimeHours
EMP00076,173775,43250,5
EMP00077,175889,8202,37
EMP00078,111826,18652,34
EMP00079,163298,42186,37
EMP00080,146336,36345,4
EMP00081,69226,7893,39
EMP00082,65024,41487,36
EMP00083,81740,20475,28
EMP00084,53445,37404,12
EMP00085,41370,15214,9
EMP00086,151039,26196,12
EMP00087,103547,23478,29
EMP00088,102005,9398,31
EMP00089,32408,7992,24
EMP00090,53195,23102,8
EMP00091,169761,40816,24
EMP00092,91284,16480,35
EMP00093,26287,18101,3
EMP00094,167142,35613,21
EMP00095,104882,6636,21
EMP00096,30258,43832,5
EMP00097,94679,35255,24
EMP00098,106828,6233,34
EMP00099,48921,30382,32
EMP00100,118666,17192,14
EMP00101,38149,48788,13
EMP00102,161845,25904,34
EMP00103,145528,15856,21
EMP00104,129112,22561,3
EMP00105,141396,45705,6
EMP00106,122831,30660,19
EMP00107,49903,13546,8
EMP00108,149425,45738,30
EMP00109,85022,36492,5
EMP00110,38328,36989,35
EMP00111,57699,28220,8
EMP00112,144517,18028,20
EMP00113,63423,32246,25
EMP00114,98231,17859,14
EMP00115,36654,47981,10
EMP00116,130383,15332,17
EMP00117,108921,39547,12
EMP00118,97596,32654,0
EMP00119,121943,39293,7
EMP00120,41753,21326,32
EMP00121,125276,37147,13
EMP00122,172584,38871,8
EMP00123,130050,10013,26
EMP00124,37783,36177,19
EMP00125,131325,24800,10
EMP00126,29507,41273,14
EMP00127,153694,40554,20
EMP00128,154386,39625,6
EMP00129,96719,16792,38
EMP00130,128213,38059,38
EMP00131,75217,14271,11
EMP00132,63418,40751,23
EMP00133,177823,8153,29
EMP00134,103343,29342,0
EMP00135,104775,7772,15
EMP00136,103921,17884,2
EMP00137,91947,41287,21
EMP00138,96608,47173,6
EMP00139,131427,20719,5
EMP00140,32488,14198,8
EMP00141,29839,29000,34
EMP00142,111804,44822,31
EMP00143,96438,15531,37
EMP00144,166798,19446,14
EMP00145,124546,39800,5
EMP00146,163475,25532,24
EMP00147,84016,38521,11
EMP00148,116630,35707,28
EMP00149,104807,42209,5
EMP00150,103999,48008,21
EMP00151,129768,38654,14
EMP00152,139342,13118,5
EMP00153,69466,40152,11
EMP00154,61020,6414,38
EMP00155,96354,13601,4
EMP00156,157420,6197,36
EMP00157,133716,34636,7
EMP00158,114914,37133,20
EMP00159,69698,49805,18
EMP00160,94985,38406,28
EMP00161,49588,8896,25
EMP00162,65390,17234,4
EMP00163,158041,29667,14
EMP00164,129637,11113,17
EMP00165,141128,38981,21
EMP00166,80068,36107,40
EMP00167,136957,28744,0
EMP00168,114249,17200,10
EMP00169,177063,43301,18
EMP00170,112893,21461,5
EMP00171,155728,42544,30
EMP00172,125753,25558,31
EMP00173,45965,45880,16
EMP00174,82812,32057,13
EMP00175,40402,14888,38
EMP00176,41249,46705,35
EMP00177,38047,44973,24
EMP00178,148634,21750,2
EMP00179,154822,5113,1
EMP00180,33201,39140,17
EMP00181,68057,30354,26
EMP00182,41779,14936,2
EMP00183,35877,22972,25
EMP00184,116063,34272,10
EMP00185,85354,5990,1
EMP00186,87451,14210,32
EMP00187,64692,48507,32
EMP00188,146800,30212,35
EMP00189,51361,15162,30
EMP00190,44946,38368,33
EMP00191,27042,24827,28
EMP00192,110662,44462,16
EMP00193,174503,10803,14
EMP00194,162465,30920,19
EMP00195,53811,24733,29
EMP00196,152589,49724,32
EMP00197,55525,29863,29
EMP00198,147764,45249,33
EMP00199,62865,16291,23
EMP00200,61405,38503,8
EMP00201,126438,16655,21
EMP00202,58982,22745,28
EMP00203,128136,46244,39
EMP00204,72276,17869,32
EMP00205,113617,39948,20
EMP00206,83109,7155,27
EMP00207,111734,31337,6
EMP00208,165788,46335,5
EMP00209,57432,6958,17
EMP00210,75687,33947,33
EMP00211,41966,45470,34
EMP00212,77354,21196,37
EMP00213,152664,7266,3
EMP00214,82777,49325,28
EMP00215,74306,42102,0
EMP00216,122098,26960,8
EMP00217,98256,6800,29
EMP00218,178854,15530,12
EMP00219,106504,22506,9
EMP00220,35181,27985,35
EMP00221,95772,43897,4
EMP00222,109564,43573,7
EMP00223,161485,5862,10
EMP00224,143872,19444,2
EMP00225,165678,8489,25
EMP00226,130727,32654,35
EMP00227,135689,36097,38
EMP00228,174255,42577,5
EMP00229,89642,13436,12
EMP00230,131446,36022,11
EMP00231,70559,16072,21
EMP00232,74442,10140,25
EMP00233,66198,25499,32
EMP00234,145218,20598,6
EMP00235,93932,35535,17
EMP00236,154116,43680,23
EMP00237,164404,35866,35
EMP00238,100335,49625,20
EMP00239,149769,8943,27
EMP00240,121713,25406,18
EMP00241,114781,26425,27
EMP00242,113439,44570,19
EMP00243,66571,41406,40
EMP00244,105382,40074,20
EMP00245,29457,20707,24
EMP00246,109834,21171,18
EMP00247,140902,27471,15
EMP00248,130136,40429,26
EMP00249,139791,11619,36
EMP00250,74061,23828,3
EMP00251,133859,16886,1
EMP00252,105102,19301,25
EMP00253,37560,16380,36
EMP00254,134847,44315,7
EMP00255,69379,6086,21
EMP00256,94781,37662,26
EMP00257,97903,14098,39
EMP00258,43361,41526,14
EMP00259,147640,32389,20
EMP00260,108661,32106,21
EMP00261,65914,30356,24
EMP00262,110977,36877,25
EMP00263,38351,40634,16
EMP00264,104803,22586,17
EMP00265,106870,32704,24
EMP00266,146640,48577,37
EMP00267,149531,5924,40
EMP00268,81069,20439,14
EMP00269,129989,40294,5
EMP00270,76136,19856,25
EMP00271,79207,41048,34
EMP00272,91289,27704,1
EMP00273,170129,38478,18
EMP00274,48211,34423,18
EMP00275,106031,13712,34
EMP00276,56596,42943,13
EMP00277,130341,33329,22
EMP00278,41180,37286,24
EMP00279,26936,7944,15
EMP00280,164307,47446,39
EMP00281,123477,43076,20
EMP00282,155191,16777,34
EMP00283,111680,8993,25
EMP00284,79737,21655,34
EMP00285,45291,10158,3
EMP00286,41531,40084,25
EMP00287,99733,8405,24
EMP00288,73157,28887,20
EMP00289,96738,22964,15
EMP00290,89455,33371,16
EMP00291,109365,28600,33
EMP00292,150954,46251,8
EMP00293,83243,30871,39
EMP00294,61024,31320,23
EMP00295,144715,48822,39
EMP00296,168759,22655,4
EMP00297,111501,25379,10
EMP00298,51420,15168,33
EMP00299,133831,42444,17
EMP00300,73682,37946,17
EMP00301,71601,40562,4
EMP00302,125282,11862,27
EMP00303,96538,13714,26
EMP00304,121961,22754,39
EMP00305,38439,18726,17
EMP00306,40098,48748,10
EMP00307,34506,37664,37
EMP00308,172343,28429,22
EMP00309,120604,28176,18
EMP00310,97678,15670,8
EMP00311,154195,20424,3
EMP00312,112073,36986,14
EMP00313,136307,5776,31
EMP00314,33267,28881,7
EMP00315,40128,38472,18
EMP00316,139226,48210,36
EMP00317,108941,24532,30
EMP00318,30331,14070,6
EMP00319,99102,9798,28
EMP00320,132997,23290,7
EMP00321,74855,7535,30
EMP00322,143549,7770,14
EMP00323,173725,9993,3
EMP00324,143414,9423,18
EMP00325,129672,31860,13
EMP00326,36197,34124,35
EMP00327,97315,24350,23
EMP00328,115322,21956,20
EMP00329,101146,39277,18
EMP00330,73889,14147,27
EMP00331,121816,27521,8
EMP00332,72357,29205,4
EMP00333,30855,21965,18
EMP00334,89930,26319,30
EMP00335,91883,49175,32
EMP00336,35006,41901,11
EMP00337,26935,45426,26
EMP00338,61320,13194,40
EMP00339,164018,43458,30
EMP00340,143644,8078,21
EMP00341,45881,15782,23
EMP00342,172535,24951,19
EMP00343,40288,30452,34
EMP00344,129089,11368,8
EMP00345,113747,34100,26
EMP00346,100572,31071,39
EMP00347,162224,18726,2
EMP00348,66508,49535,23
EMP00349,50123,27280,21
EMP00350,79287,6005,8
EMP00351,68983,27250,22
EMP00352,55349,20780,0
EMP00353,171225,19985,19
EMP00354,162737,18069,2
EMP00355,76978,33643,10
EMP00356,32053,9886,15
EMP00357,156068,29158,34
EMP00358,161159,6035,31
EMP00359,124739,24912,24
EMP00360,50138,40865,8
EMP00361,69370,34228,6
EMP00362,82331,9202,16
EMP00363,173621,19957,20
EMP00364,104258,21681,16
EMP00365,40452,37624,12
EMP00366,158441,29279,36
EMP00367,136004,14709,33
EMP00368,159448,37700,5
EMP00369,126121,5376,9
EMP00370,110668,27028,33
EMP00371,155082,35214,17
EMP00372,95578,23438,4
EMP00373,72805,17832,33
EMP00374,62889,10968,37
EMP00375,64597,31758,26
EMP00376,48029,32900,22
EMP00377,162130,45398,2
EMP00378,57889,42591,33
EMP00379,119698,47555,14
EMP00380,112276,38642,12
EMP00381,140773,26486,32
EMP00382,139262,20775,11
EMP00383,175427,45869,2
EMP00384,29364,5460,6
EMP00385,105722,28550,30
EMP00386,154045,20361,16
EMP00387,32016,8108,18
EMP00388,95524,19105,36
EMP00389,172612,27700,28
EMP00390,27157,5923,39
EMP00391,68740,30675,9
EMP00392,104921,23330,33
EMP00393,80753,7853,23
EMP00394,81670,7742,40
EMP00395,33279,45609,9
EMP00396,117698,46348,11
EMP00397,58385,23709,23
EMP00398,145315,42535,31
EMP00399,157927,43176,34
EMP00400,161598,49550,35
EMP00401,132697,42553,9
EMP00402,59829,6148,3
EMP00403,55068,36776,7
EMP00404,90771,48634,6
EMP00405,164779,6205,6
EMP00406,25312,27378,24
EMP00407,69643,25711,8
EMP00408,166176,38842,36
EMP00409,128500,17507,30
EMP00410,114219,31845,21
EMP00411,49393,36283,22
EMP00412,156443,26395,35
EMP00413,151098,16237,11
EMP00414,44207,41430,35
EMP00415,98429,47186,12
EMP00416,25698,12629,26
EMP00417,78856,25315,14
EMP00418,128209,42750,40
EMP00419,147323,10655,18
EMP00420,107041,28502,24
EMP00421,73694,33243,20
EMP00422,44689,18633,20
EMP00423,66992,19153,11
EMP00424,154776,40460,18
EMP00425,157573,32697,28
EMP00426,49072,23769,14
EMP00427,154504,12066,11
EMP00428,29215,41199,19
EMP00429,49827,25224,38
EMP00430,125164,37747,9
EMP00431,73340,17321,23
EMP00432,165567,43536,11
EMP00433,126922,35662,16
EMP00434,100885,29459,23
EMP00435,111516,42262,34
EMP00436,117373,42617,5
EMP00437,41160,45529,8
EMP00438,150253,37884,40
EMP00439,113054,48759,21
EMP00440,169683,33733,29
EMP00441,71083,49478,1
EMP00442,68535,21851,20
EMP00443,77317,32169,23
EMP00444,101419,13981,36
EMP00445,174500,22109,17
EMP00446,113258,7075,29
EMP00447,141707,43226,5
EMP00448,141928,45494,35
EMP00449,42943,33945,8
EMP00450,159501,17505,38
EMP00451,143490,41131,39
EMP00452,157978,43703,30
EMP00453,64675,9561,25
EMP00454,27951,20245,17
EMP00455,173930,44491,9
EMP00456,117516,16484,33
EMP00457,46027,46415,36
EMP00458,111194,48469,8
EMP00459,102277,27821,36
EMP00460,139725,11592,25
EMP00461,90601,43986,18
EMP00462,124776,39732,25
EMP00463,145590,5694,29
EMP00464,139172,34843,12
EMP00465,33416,32126,12
EMP00466,32550,43411,25
EMP00467,34804,17956,9
EMP00468,48901,33999,28
EMP00469,31107,39064,12
EMP00470,127040,16876,34
EMP00471,114942,21431,24
EMP00472,142635,8782,6
EMP00473,88202,21111,34
EMP00474,152181,5535,15
EMP00475,110265,45383,6
EMP00476,49181,45845,19
EMP00477,111230,41655,11
EMP00478,151376,43985,5
EMP00479,164206,20158,22
EMP00480,139393,32494,24
EMP00481,123508,43798,30
EMP00482,95355,13623,3
EMP00483,64492,41262,23
EMP00484,112415,37736,34
EMP00485,56155,43271,30
EMP00486,173743,6574,2
EMP00487,163078,18758,24
EMP00488,34366,48474,30
EMP00489,164591,36890,7
EMP00490,102298,39913,9
EMP00491,117496,25522,30
EMP00492,83025,17064,33
EMP00493,169618,13267,28
EMP00494,54877,44117,0
EMP00495,139801,17960,28
EMP00496,132373,9231,19
EMP00497,83905,40164,40
EMP00498,61039,27310,27
EMP00499,130898,8348,10
EMP00500,65776,11157,37
EMP00501,151594,48423,37
EMP00502,85622,32573,2
EMP00503,30293,17006,8
EMP00504,125060,39602,39
EMP00505,96421,24542,14
EMP00506,125197,30479,11
EMP00507,139497,24750,24
EMP00508,38054,23916,40
EMP00509,171439,26638,25
EMP00510,159916,31535,20
EMP00511,171264,46310,6
EMP00512,171683,17915,16
EMP00513,78497,20331,36
EMP00514,127260,9817,30
EMP00515,173850,38692,24
EMP00516,40782,42587,4
EMP00517,69297,26507,39
EMP00518,141276,21913,13
EMP00519,170176,20056,18
EMP00520,68617,9404,24
EMP00521,141292,13895,25
EMP00522,64022,22385,16
EMP00523,63556,38602,35
EMP00524,132941,44581,28
EMP00525,107834,16285,16
EMP00526,38352,10070,31
EMP00527,149066,45366,22
EMP00528,68798,9295,5
EMP00529,176642,8487,16
EMP00530,75240,7889,23
EMP00531,70571,26372,38
EMP00532,45489,40158,20
EMP00533,157335,44901,28
EMP00534,50558,17957,38
EMP00535,51003,17353,33
EMP00536,148847,36030,0
EMP00537,139380,30755,3
EMP00538,36607,21944,9
EMP00539,118075,37912,30
EMP00540,72791,48216,29
EMP00541,124917,31620,39
EMP00542,91954,48437,24
EMP00543,88340,20437,20
EMP00544,104498,6078,1
EMP00545,70558,29045,30
EMP00546,46830,40086,25
EMP00547,144525,16888,9
EMP00548,96911,20766,12
EMP00549,58183,31743,35
EMP00550,127560,19317,4
EMP00551,104020,33931,8
EMP00552,45627,25553,30
EMP00553,51274,45997,6
EMP00554,54688,36798,7
EMP00555,164443,39935,36
EMP00556,28765,12443,6
EMP00557,43668,34296,34
EMP00558,120551,5947,12
EMP00559,66228,30124,38
EMP00560,59192,43529,31
EMP00561,173378,22987,21
EMP00562,139709,41114,21
EMP00563,31283,31153,0
EMP00564,35702,6392,36
EMP00565,90685,24615,2
EMP00566,68817,19939,15
EMP00567,107177,42911,36
EMP00568,129079,15918,4
EMP00569,114672,42011,22
EMP00570,53633,9131,3
EMP00571,108895,6388,31
EMP00572,100902,22452,39
EMP00573,52171,35191,35
EMP00574,95709,32114,33
EMP00575,107749,5173,33
EMP00576,140051,31417,28
EMP00577,83844,17942,33
EMP00578,65722,37663,22
EMP00579,62409,47621,25
EMP00580,85745,13401,1
EMP00581,158616,12089,33
EMP00582,146282,38814,32
EMP00583,38722,39999,28
EMP00584,146719,36398,2
EMP00585,35561,40750,20
EMP00586,91300,28648,10
EMP00587,70464,38720,9
EMP00588,172137,6216,4
EMP00589,152298,45778,3
EMP00590,165283,8822,8
EMP00591,121438,35828,13
EMP00592,170585,27918,31
EMP00593,102227,36839,8
EMP00594,172684,14548,33
EMP00595,34333,16149,2
EMP00596,127307,41632,19
EMP00597,164480,26944,29
EMP00598,64561,17002,1
EMP00599,99556,34175,15
EMP00600,87290,21478,11
EMP00601,71964,19763,16
EMP00602,33066,38164,27
EMP00603,26290,29235,22
EMP00604,74992,12759,11
EMP00605,105008,13935,37
EMP00606,80735,33146,23
EMP00607,156328,30200,18
EMP00608,58961,21989,16
EMP00609,123762,20683,40
EMP00610,32694,27498,6
EMP00611,111544,39305,9
EMP00612,89383,10970,21
EMP00613,82113,36948,21
EMP00614,55011,38087,14
EMP00615,83575,12116,10
EMP00616,102488,25667,9
EMP00617,60355,11196,1
EMP00618,46916,29021,12
EMP00619,78349,39538,35
EMP00620,150062,38959,18
EMP00621,152302,46369,7
EMP00622,162097,15749,24
EMP00623,146246,29487,22
EMP00624,108070,46122,2
EMP00625,152258,22425,18
EMP00626,149299,40322,40
EMP00627,136709,38675,29
EMP00628,30515,22545,30
EMP00629,102324,27404,16
EMP00630,150077,22431,21
EMP00631,144874,46554,40
EMP00632,72881,6062,15
EMP00633,44893,26676,24
EMP00634,69474,43969,29
EMP00635,43191,31959,4
EMP00636,166574,29932,24
EMP00637,32130,23095,26
EMP00638,113976,25452,21
EMP00639,36619,41369,5
EMP00640,113195,13686,2
EMP00641,130845,22899,38
EMP00642,73924,41708,31
EMP00643,57510,27931,25
EMP00644,44601,19091,14
EMP00645,97112,25623,2
EMP00646,54443,39650,19
EMP00647,84156,16505,15
EMP00648,176231,30978,9
EMP00649,150222,5958,15
EMP00650,112295,5325,36
EMP00651,175500,13940,3
EMP00652,55739,42360,36
EMP00653,167688,13304,4
EMP00654,39410,12429,33
EMP00655,73802,20206,16
EMP00656,68072,49460,23
EMP00657,96636,29470,1
EMP00658,105770,20933,1
EMP00659,69640,39079,1
EMP00660,135785,48671,10
EMP00661,152560,29975,14
EMP00662,54971,10895,29
EMP00663,29677,48147,40
EMP00664,124927,15966,14
EMP00665,36694,20181,37
EMP00666,159240,23718,37
EMP00667,84294,43298,33
EMP00668,67013,36007,3
EMP00669,115596,6819,17
EMP00670,92363,21003,25
EMP00671,178226,36730,20
EMP00672,33975,46592,20
EMP00673,116757,25192,2
EMP00674,90296,29804,4
EMP00675,166215,18499,9
EMP00676,126714,33159,4
EMP00677,166449,25784,26
EMP00678,34442,5669,1
EMP00679,126716,8713,0
EMP00680,45649,31494,2
EMP00681,27526,17439,38
EMP00682,63620,25166,20
EMP00683,74774,47568,34
EMP00684,140062,36064,19
EMP00685,169445,39125,18
EMP00686,149642,49740,8
EMP00687,119162,13152,0
EMP00688,32156,34951,16
EMP00689,94310,13576,6
EMP00690,160054,29029,11
EMP00691,133543,17442,37
EMP00692,143445,26058,19
EMP00693,139140,25229,23
EMP00694,78259,19012,39
EMP00695,42994,19533,29
EMP00696,25776,31948,3
EMP00697,50286,26889,21
EMP00698,160232,45351,32
EMP00699,44832,47684,3
EMP00700,34173,18042,12
EMP00701,175816,46632,36
EMP00702,143143,16718,10
EMP00703,28269,45262,11
EMP00704,134819,40968,6
EMP00705,125726,38110,14
EMP00706,125197,44072,9
EMP00707,82396,11265,27
EMP00708,142990,42724,1
EMP00709,39638,13648,24
EMP00710,97913,33212,40
EMP00711,127200,14978,30
EMP00712,81834,37258,29
EMP00713,168745,42082,24
EMP00714,33265,36738,27
EMP00715,126977,12332,15
EMP00716,153744,7459,15
EMP00717,40877,47771,11
EMP00718,171647,49123,25
EMP00719,162634,46522,12
EMP00720,83217,36616,38
EMP00721,132244,42730,28
EMP00722,179229,18853,19
EMP00723,160732,28194,28
EMP00724,162365,32210,10
EMP00725,178417,46364,11
EMP00726,93210,35992,16
EMP00727,92512,23125,18
EMP00728,156907,37608,3
EMP00729,31586,45559,31
EMP00730,147553,10555,25
EMP00731,88412,22247,5
EMP00732,122204,9353,21
EMP00733,28301,18149,24
EMP00734,135842,12717,39
EMP00735,67453,28846,1
EMP00736,45705,24805,17
EMP00737,71765,9155,38
EMP00738,151982,43761,15
EMP00739,74411,48994,38
EMP00740,126701,6955,1
EMP00741,111614,30926,32
EMP00742,67105,20074,11
EMP00743,167689,15472,14
EMP00744,113935,17444,23
EMP00745,95348,9554,6
EMP00746,72162,13345,24
EMP00747,45018,38298,4
EMP00748,109552,43475,8
EMP00749,88961,29248,12
EMP00750,108129,37576,36
EMP00751,34562,29780,16
EMP00752,166538,33201,26
EMP00753,161550,32066,16
EMP00754,32547,12178,18
EMP00755,107790,5766,2
EMP00756,126065,49230,9
EMP00757,102444,8495,31
EMP00758,139220,5223,32
EMP00759,150202,7423,27
EMP00760,99097,38033,7
EMP00761,60545,25145,28
EMP00762,114364,13576,15
EMP00763,61420,7748,29
EMP00764,139201,23148,13
EMP00765,177952,42273,28
EMP00766,36476,42726,3
EMP00767,47915,32655,1
EMP00768,45054,44064,23
EMP00769,164380,40555,27
EMP00770,125471,5802,29
EMP00771,45828,44224,40
EMP00772,104333,14124,15
EMP00773,130301,24302,5
EMP00774,157716,34326,32
EMP00775,77562,35683,14
EMP00776,155302,14099,27
EMP00777,118153,7400,4
EMP00778,67498,41145,23
EMP00779,174221,33304,26
EMP00780,75701,7739,25
EMP00781,53406,16999,31
EMP00782,38498,49627,4
EMP00783,131809,36983,31
EMP00784,75981,36498,9
EMP00785,25347,12854,38
EMP00786,122616,26859,7
EMP00787,41452,23789,29
EMP00788,130422,43216,15
EMP00789,144397,49401,20
EMP00790,39042,12030,37
EMP00791,135006,18167,17
EMP00792,64223,9882,24
EMP00793,33213,32779,11
EMP00794,134105,14850,34
EMP00795,40518,47045,25
EMP00796,25544,36543,34
EMP00797,101373,30303,30
EMP00798,44771,41631,29
EMP00799,127862,14001,18
EMP00800,136903,48552,1
EMP00801,27154,44013,30
EMP00802,171737,43904,2
EMP00803,117859,39780,11
EMP00804,116199,43213,33
EMP00805,80864,43987,24
EMP00806,40761,29152,0
EMP00807,69149,40372,13
EMP00808,130556,21654,24
EMP00809,65111,49825,26
EMP00810,56816,19685,18
EMP00811,62195,46900,23
EMP00812,69239,7883,37
EMP00813,40133,12055,23
EMP00814,116921,16487,37
EMP00815,125019,38389,31
EMP00816,166730,12543,19
EMP00817,35493,44453,10
EMP00818,140029,14684,0
EMP00819,134489,17032,2
EMP00820,81174,6778,40
EMP00821,44833,32261,9
EMP00822,140139,9144,15
EMP00823,94387,15520,34
EMP00824,32380,47729,39
EMP00825,132308,19892,23
EMP00826,76749,16308,15
EMP00827,155904,34873,24
EMP00828,93195,28742,37
EMP00829,179271,18529,36
EMP00830,153828,15763,23
EMP00831,175340,7854,40
EMP00832,178854,5446,36
EMP00833,129721,32524,32
EMP00834,37075,47558,38
EMP00835,129834,44715,23
EMP00836,78841,30340,23
EMP00837,119929,36059,30
EMP00838,138250,24711,21
EMP00839,46056,28875,13
EMP00840,103090,49367,30
EMP00841,72851,17990,17
EMP00842,80417,39348,19
EMP00843,123396,13221,30
EMP00844,97758,16167,14
EMP00845,97683,22751,35
EMP00846,164831,5499,31
EMP00847,118800,36935,17
EMP00848,121966,15799,15
EMP00849,93832,38751,4
EMP00850,30668,38909,1
EMP00851,103161,40363,25
EMP00852,120583,44398,25
EMP00853,158179,13903,26
EMP00854,67400,16879,32
EMP00855,146237,20823,7
EMP00856,38849,28077,27
EMP00857,165658,20967,37
EMP00858,27782,28570,33
EMP00859,139470,48958,18
EMP00860,96236,26990,3
EMP00861,103406,19632,1
EMP00862,163257,28540,37
EMP00863,60302,29723,29
EMP00864,70289,19080,14
EMP00865,85481,19568,7
EMP00866,65048,48574,30
EMP00867,107494,41107,30
EMP00868,151587,5096,8
EMP00869,66313,21157,22
EMP00870,153429,25586,18
EMP00871,168596,41699,39
EMP00872,66225,7714,36
EMP00873,76480,37792,6
EMP00874,77578,44267,5
EMP00875,30100,8256,27
EMP00876,86892,49614,2
EMP00877,173361,39209,0
EMP00878,98854,42071,28
EMP00879,50282,15738,30
EMP00880,98400,41801,28
EMP00881,160196,5129,5
EMP00882,177125,26615,6
EMP00883,115458,16235,38
EMP00884,127106,31663,37
EMP00885,100424,30828,20
EMP00886,28564,30831,14
EMP00887,89284,39719,33
EMP00888,130544,6962,22
EMP00889,53793,33408,29
EMP00890,38930,13036,26
EMP00891,174286,29108,39
EMP00892,175042,37650,36
EMP00893,116191,17079,12
EMP00894,102339,22362,10
EMP00895,26612,14003,28
EMP00896,147525,22549,21
EMP00897,145937,20049,40
EMP00898,29435,20593,0
EMP00899,138705,39551,15
EMP00900,131489,32804,16
EMP00901,31918,10214,31
EMP00902,136069,40054,25
EMP00903,94843,5581,27
EMP00904,105847,24141,37
EMP00905,98560,35240,2
EMP00906,162042,49463,33
EMP00907,163483,41466,3
EMP00908,154135,37923,22
EMP00909,41100,16793,19
EMP00910,133673,8880,8
EMP00911,128060,15195,40
EMP00912,132774,26001,18
EMP00913,39099,26648,22
EMP00914,84527,11537,7
EMP00915,72817,27679,19
EMP00916,64014,8209,0
EMP00917,40034,39372,5
EMP00918,168691,38189,40
EMP00919,36185,17177,33
EMP00920,170211,48667,10
EMP00921,28756,23740,18
EMP00922,38366,28025,30
EMP00923,123194,35546,10
EMP00924,68130,15098,14
EMP00925,72075,45721,22
EMP00926,116351,26370,25
EMP00927,39455,40754,13
EMP00928,54851,13388,4
EMP00929,27221,15668,0
EMP00930,155891,11735,32
EMP00931,177589,36251,37
EMP00932,57142,14720,0
EMP00933,99286,7266,15
EMP00934,54672,14963,30
EMP00935,178584,28129,11
EMP00936,55424,30481,17
EMP00937,74979,30162,24
EMP00938,42957,39797,4
EMP00939,122631,17758,33
EMP00940,25759,7251,19
EMP00941,116867,48899,37
EMP00942,124981,6056,24
EMP00943,34133,46137,26
EMP00944,99088,11533,4
EMP00945,131357,18186,0
EMP00946,55696,39286,22
EMP00947,170719,37934,2
EMP00948,120805,15858,1
EMP00949,177589,42927,12
EMP00950,105978,36781,30
EMP00951,87287,38857,4
EMP00952,132386,15564,21
EMP00953,128758,35532,8
EMP00954,174073,48908,30
EMP00955,51095,35687,14
EMP00956,71289,30169,7
EMP00957,77389,19243,11
EMP00958,135887,38196,8
EMP00959,155156,21886,21
EMP00960,27488,47237,21
EMP00961,151442,46738,32
EMP00962,150763,12110,32
EMP00963,112672,39215,14
EMP00964,34288,49481,37
EMP00965,173825,8446,9
EMP00966,175303,38211,37
EMP00967,50615,15236,0
EMP00968,58267,12784,4
EMP00969,81197,20853,30
EMP00970,69490,37734,9
EMP00971,162247,22551,17
EMP00972,57372,7509,2
EMP00973,79181,20277,25
EMP00974,68483,17054,25
EMP00975,46312,42868,0
EMP00976,179929,36480,13
EMP00977,127036,17444,11
EMP00978,118091,31642,0
EMP00979,48585,20649,16
EMP00980,166661,19113,37
EMP00981,106173,25797,36
EMP00982,162163,31368,10
EMP00983,90085,24249,16
EMP00984,160547,44303,38
EMP00985,115634,36603,23
EMP00986,107891,34130,31
EMP00987,169129,22916,13
EMP00988,31676,43460,4
EMP00989,51051,7532,16
EMP00990,75722,10909,0
EMP00991,71588,27724,21
EMP00992,105329,49878,16
EMP00993,71168,28297,38
EMP00994,160871,8624,18
EMP00995,157843,12679,27
EMP00996,145734,16392,38
