EmployeeID,AttendancePercentage,LeavesTaken,JobSatisfaction,WorkLifeBalance,Attrition
EMP00109,86.8,24,1,2,No
EMP00110,87.3,19,5,5,No
EMP00111,89.0,14,1,1,Yes
EMP00112,94.0,4,5,5,No
EMP00113,89.4,18,4,3,No
EMP00114,79.9,3,1,3,Yes
EMP00115,80.8,26,5,2,No
EMP00116,92.2,11,4,3,No
EMP00117,87.9,10,1,5,No
EMP00118,76.8,25,2,2,No
EMP00119,95.9,22,2,2,No
EMP00120,84.6,3,4,5,No
EMP00121,96.0,9,5,3,No
EMP00122,90.7,21,5,2,No
EMP00123,94.2,24,5,4,No
EMP00124,98.4,8,1,2,No
EMP00125,84.2,8,5,4,No
EMP00126,97.0,4,1,5,No
EMP00127,75.3,4,3,5,No
EMP00128,89.8,1,5,4,No
EMP00129,83.9,30,5,1,Yes
EMP00130,95.7,7,4,4,No
EMP00131,90.3,10,1,2,No
EMP00132,82.5,7,3,1,Yes
EMP00133,91.2,9,1,3,No
EMP00134,90.2,8,5,4,No
EMP00135,82.3,12,4,1,No
EMP00136,80.8,19,2,3,No
EMP00137,92.6,22,3,1,Yes
EMP00138,75.7,19,2,4,No
EMP00139,86.9,2,5,3,No
EMP00140,92.3,5,4,2,No
EMP00141,86.0,8,1,3,No
EMP00142,98.0,18,1,2,No
EMP00143,81.2,16,1,2,No
EMP00144,81.7,6,4,1,No
EMP00145,86.4,27,5,5,Yes
EMP00146,79.4,11,4,1,No
EMP00147,92.6,16,3,4,No
EMP00148,97.4,1,4,1,No
EMP00149,99.3,28,2,3,No
EMP00150,95.3,3,5,2,No
EMP00151,85.0,10,2,1,Yes
EMP00152,78.6,30,2,1,No
EMP00153,96.0,15,5,4,No
EMP00154,79.1,19,2,3,No
EMP00155,97.3,25,2,4,Yes
EMP00156,83.5,2,4,5,No
EMP00157,77.7,23,5,2,No
EMP00158,88.5,14,5,2,No
EMP00159,89.1,29,5,3,No
EMP00160,93.2,13,4,3,Yes
EMP00161,91.0,8,2,2,No
EMP00162,91.7,4,4,2,No
EMP00163,78.6,5,3,3,No
EMP00164,75.3,30,4,5,No
EMP00165,92.1,0,1,5,No
EMP00166,78.5,20,2,3,No
EMP00167,81.1,12,5,3,No
EMP00168,99.4,10,3,1,No
EMP00169,82.7,1,5,1,No
EMP00170,98.9,16,1,3,No
EMP00171,87.7,20,1,5,No
EMP00172,93.8,11,1,5,No
EMP00173,75.6,8,5,3,No
EMP00174,81.2,15,1,3,No
EMP00175,80.7,3,5,3,No
EMP00176,95.9,17,4,1,No
EMP00177,98.0,11,5,1,No
EMP00178,93.7,19,4,4,No
EMP00179,83.0,29,3,4,No
EMP00180,83.3,25,4,4,Yes
EMP00181,87.2,13,3,3,No
EMP00182,80.7,13,3,3,No
EMP00183,92.1,12,1,2,No
EMP00184,90.1,29,4,1,No
EMP00185,97.8,8,5,4,No
EMP00186,86.9,15,5,5,Yes
EMP00187,77.6,12,4,4,No
EMP00188,80.7,17,4,1,No
EMP00189,91.2,16,5,5,No
EMP00190,98.8,7,3,2,No
EMP00191,94.6,19,1,4,Yes
EMP00192,92.3,22,2,2,No
EMP00193,97.8,9,5,1,No
EMP00194,90.7,25,2,1,No
EMP00195,91.8,12,4,5,No
EMP00196,88.6,14,5,4,No
EMP00197,83.0,30,1,2,No
EMP00198,79.7,22,5,2,No
EMP00199,91.6,15,1,3,No
EMP00200,82.8,12,5,4,No
EMP00201,84.7,16,5,4,Yes
EMP00202,98.4,9,4,4,No
EMP00203,84.8,9,3,1,No
EMP00204,87.2,24,1,4,No
EMP00205,96.7,7,1,3,No
EMP00206,93.6,26,4,1,Yes
EMP00207,97.4,24,3,3,No
EMP00208,89.0,19,4,4,No
EMP00209,99.3,12,4,3,No
EMP00210,86.2,0,2,2,No
EMP00211,89.3,1,4,3,No
EMP00212,89.7,25,1,1,Yes
EMP00213,88.3,10,5,2,No
EMP00214,85.1,23,3,2,No
EMP00215,78.6,25,2,4,No
EMP00216,86.2,29,1,2,No
EMP00217,88.8,2,3,2,No
EMP00218,82.0,23,4,3,No
EMP00219,86.2,20,1,3,No
EMP00220,75.3,6,4,1,No
EMP00221,83.8,8,3,2,No
EMP00222,75.5,0,4,2,No
EMP00223,98.2,11,2,5,No
EMP00224,95.3,11,4,4,No
EMP00225,86.5,8,4,1,No
EMP00226,87.3,28,3,2,No
EMP00227,85.0,25,1,1,No
EMP00228,88.5,19,1,2,Yes
EMP00229,95.3,9,3,3,No
EMP00230,76.6,10,3,3,Yes
EMP00231,83.2,7,1,2,No
EMP00232,86.8,11,1,5,No
EMP00233,77.7,14,1,3,No
EMP00234,89.9,2,2,4,No
EMP00235,76.7,7,1,5,No
EMP00236,89.8,4,4,2,No
EMP00237,97.5,13,5,3,No
EMP00238,95.3,27,3,1,No
EMP00239,97.4,11,3,1,Yes
EMP00240,89.6,23,5,3,No
EMP00241,97.6,25,3,2,No
EMP00242,88.1,29,2,5,No
EMP00243,78.1,30,3,1,No
EMP00244,90.4,14,4,3,No
EMP00245,84.3,14,5,5,No
EMP00246,93.2,18,4,3,No
EMP00247,95.1,14,1,4,No
EMP00248,92.7,7,3,5,No
EMP00249,83.3,3,4,4,No
EMP00250,100.0,10,3,1,No
EMP00251,81.3,29,3,2,No
EMP00252,84.8,8,3,3,No
EMP00253,81.6,26,1,5,No
EMP00254,95.3,5,5,5,No
EMP00255,97.5,27,2,1,No
EMP00256,95.7,2,1,1,Yes
EMP00257,98.7,27,3,2,No
EMP00258,79.3,20,1,5,No
EMP00259,95.0,9,2,3,No
EMP00260,95.5,24,3,1,No
EMP00261,98.1,17,5,1,No
EMP00262,77.7,1,5,4,No
EMP00263,98.6,26,1,4,No
EMP00264,98.6,7,5,2,No
EMP00265,95.1,23,4,5,No
EMP00266,75.7,1,4,4,No
EMP00267,85.5,15,4,3,No
EMP00268,88.3,1,5,4,No
EMP00269,92.8,23,3,3,No
EMP00270,75.4,11,5,5,Yes
EMP00271,88.1,29,2,2,No
EMP00272,91.1,9,3,3,No
EMP00273,97.6,2,1,4,Yes
EMP00274,84.7,29,3,1,No
EMP00275,96.2,6,5,5,No
EMP00276,89.6,28,2,5,No
EMP00277,84.1,13,1,2,No
EMP00278,79.3,6,2,3,No
EMP00279,93.3,11,1,4,No
EMP00280,86.4,25,4,2,No
EMP00281,81.8,23,3,2,No
EMP00282,93.7,24,5,5,No
EMP00283,88.1,5,1,5,No
EMP00284,90.2,8,2,1,No
EMP00285,83.7,26,3,1,No
EMP00286,83.5,16,3,4,Yes
EMP00287,80.2,19,2,3,No
EMP00288,91.9,13,2,3,No
EMP00289,97.8,8,1,3,No
EMP00290,93.8,20,4,4,No
EMP00291,88.9,12,1,2,No
EMP00292,85.3,8,3,3,No
EMP00293,94.3,23,3,3,No
EMP00294,79.4,20,2,2,No
EMP00295,76.8,7,5,2,No
EMP00296,75.9,28,5,4,No
EMP00297,90.9,18,3,3,No
EMP00298,81.9,9,1,3,No
EMP00299,85.1,23,4,4,No
EMP00300,85.8,21,1,4,No
EMP00301,75.5,3,2,2,No
EMP00302,78.7,29,5,2,No
EMP00303,93.3,5,2,4,Yes
EMP00304,90.0,21,4,1,No
EMP00305,95.2,26,4,5,No
EMP00306,99.0,13,1,5,No
EMP00307,82.5,2,4,2,No
EMP00308,85.8,7,4,1,No
EMP00309,76.9,12,5,1,No
EMP00310,95.7,19,3,2,No
EMP00311,82.4,20,1,3,Yes
EMP00312,97.2,6,4,2,Yes
EMP00313,97.6,10,2,2,No
EMP00314,78.3,9,1,1,Yes
EMP00315,77.4,21,4,5,No
EMP00316,90.1,7,4,2,No
EMP00317,96.2,28,4,4,No
EMP00318,95.6,30,3,2,No
EMP00319,75.6,15,4,1,No
EMP00320,92.9,11,5,1,No
EMP00321,85.8,9,1,3,No
EMP00322,76.0,26,5,4,No
EMP00323,84.1,22,5,1,No
EMP00324,91.4,25,4,1,No
EMP00325,75.9,6,2,4,No
EMP00326,89.0,0,4,5,No
EMP00327,83.6,4,3,2,No
EMP00328,77.7,18,2,3,No
EMP00329,83.2,27,5,4,No
EMP00330,94.3,17,4,1,No
EMP00331,87.6,28,3,4,No
EMP00332,90.7,5,1,3,No
EMP00333,86.0,16,3,5,No
EMP00334,89.8,24,3,4,No
EMP00335,91.4,7,3,1,No
EMP00336,91.5,30,2,2,No
EMP00337,91.9,6,2,3,No
EMP00338,93.1,11,5,5,Yes
EMP00339,97.2,17,2,2,No
EMP00340,80.5,0,4,2,No
EMP00341,80.1,15,1,3,No
EMP00342,87.3,21,5,1,No
EMP00343,93.2,21,4,4,No
EMP00344,81.3,12,2,1,No
EMP00345,93.6,18,4,5,No
EMP00346,89.3,17,1,5,No
EMP00347,87.1,15,5,1,No
EMP00348,89.5,0,4,1,No
EMP00349,95.8,24,4,3,No
EMP00350,82.8,15,5,1,No
EMP00351,79.0,20,1,2,No
EMP00352,89.9,30,5,5,No
EMP00353,98.9,5,3,2,No
EMP00354,81.4,1,3,3,Yes
EMP00355,98.5,4,3,3,No
EMP00356,77.8,3,4,1,No
EMP00357,81.2,25,2,5,No
EMP00358,81.2,21,2,5,No
EMP00359,93.2,1,4,4,No
EMP00360,76.9,15,4,4,No
EMP00361,76.2,6,1,2,No
EMP00362,75.2,5,2,5,No
EMP00363,93.4,21,2,1,No
EMP00364,76.5,29,3,1,No
EMP00365,84.1,13,3,1,No
EMP00366,76.3,3,5,5,No
EMP00367,83.5,9,5,5,No
EMP00368,90.5,11,4,4,Yes
EMP00369,81.4,30,5,1,Yes
EMP00370,96.2,27,1,2,No
EMP00371,82.2,10,3,2,No
EMP00372,88.1,29,1,4,No
EMP00373,92.6,11,3,3,No
EMP00374,81.4,16,2,2,No
EMP00375,83.1,18,5,4,No
EMP00376,89.0,18,5,4,No
EMP00377,96.4,22,1,1,No
EMP00378,84.9,27,2,3,No
EMP00379,89.5,0,3,4,No
EMP00380,87.7,0,3,3,No
EMP00381,79.8,7,3,3,No
EMP00382,77.3,9,2,2,No
EMP00383,93.2,30,2,1,No
EMP00384,93.8,3,5,1,No
EMP00385,78.8,28,5,1,No
EMP00386,97.4,13,1,4,No
EMP00387,91.6,8,5,2,No
EMP00388,89.6,2,1,3,No
EMP00389,92.2,18,2,4,No
EMP00390,83.8,15,2,3,No
EMP00391,75.4,9,4,2,Yes
EMP00392,89.1,11,5,4,Yes
EMP00393,92.1,18,5,5,No
EMP00394,84.5,1,4,2,Yes
EMP00395,76.0,19,3,4,Yes
EMP00396,98.9,16,2,4,No
EMP00397,87.3,1,4,4,No
EMP00398,96.4,8,3,4,No
EMP00399,92.6,3,1,5,Yes
EMP00400,99.4,25,4,2,Yes
EMP00401,84.9,29,4,3,No
EMP00402,99.3,28,2,5,No
EMP00403,86.2,13,4,5,No
EMP00404,99.8,7,2,2,No
EMP00405,96.6,11,3,4,No
EMP00406,76.0,8,4,5,No
EMP00407,81.2,11,4,1,No
EMP00408,87.1,11,1,2,No
EMP00409,94.1,28,5,2,No
EMP00410,76.4,9,3,1,No
EMP00411,84.3,28,1,1,No
EMP00412,88.1,9,1,2,No
EMP00413,84.3,4,4,3,No
EMP00414,79.2,5,3,4,Yes
EMP00415,92.8,28,3,5,No
EMP00416,95.5,13,4,1,Yes
EMP00417,97.3,4,3,3,No
EMP00418,86.5,28,2,5,No
EMP00419,80.2,30,2,4,No
EMP00420,95.2,10,3,4,Yes
EMP00421,97.4,0,3,1,No
EMP00422,98.9,10,2,3,No
EMP00423,86.4,26,2,3,No
EMP00424,75.2,13,3,2,No
EMP00425,92.0,23,2,1,No
EMP00426,93.5,29,4,1,No
EMP00427,90.8,8,5,1,No
EMP00428,80.0,2,1,4,No
EMP00429,92.9,29,3,4,Yes
EMP00430,94.8,22,4,4,No
EMP00431,84.7,23,5,4,No
EMP00432,97.7,30,4,4,No
EMP00433,94.0,10,2,2,No
EMP00434,81.9,11,4,4,Yes
EMP00435,76.1,18,4,3,No
EMP00436,82.6,16,3,5,No
EMP00437,92.3,18,4,3,No
EMP00438,95.5,15,4,4,Yes
EMP00439,77.1,7,2,4,No
EMP00440,86.2,17,5,4,Yes
EMP00441,80.2,27,4,5,No
EMP00442,86.4,4,4,4,No
EMP00443,87.3,30,1,3,No
EMP00444,81.5,23,5,2,No
EMP00445,75.7,2,4,3,Yes
EMP00446,99.4,26,5,5,No
EMP00447,87.4,5,3,1,No
EMP00448,97.1,12,4,2,No
EMP00449,86.9,28,1,1,No
EMP00450,84.9,30,1,5,No
EMP00451,91.5,30,3,3,Yes
EMP00452,90.3,30,2,5,No
EMP00453,97.0,17,4,5,No
EMP00454,75.8,26,4,3,No
EMP00455,91.2,29,2,4,No
EMP00456,75.8,18,4,2,No
EMP00457,94.0,4,3,2,No
EMP00458,80.2,25,4,3,No
EMP00459,95.2,8,4,5,No
EMP00460,85.6,23,1,5,No
EMP00461,98.2,1,4,5,No
EMP00462,93.3,16,4,4,No
EMP00463,98.6,10,5,3,No
EMP00464,91.6,3,5,5,No
EMP00465,92.2,22,4,4,No
EMP00466,78.0,4,4,2,No
EMP00467,79.3,12,1,3,No
EMP00468,95.5,23,5,4,No
EMP00469,77.1,25,2,5,No
EMP00470,93.8,2,1,3,Yes
EMP00471,91.2,22,4,4,No
EMP00472,92.8,6,2,4,No
EMP00473,76.4,11,1,1,No
EMP00474,89.8,10,3,4,No
EMP00475,79.4,17,3,3,No
EMP00476,89.8,7,5,3,No
EMP00477,91.0,9,1,5,No
EMP00478,86.7,17,4,5,No
EMP00479,81.1,28,4,5,Yes
EMP00480,80.5,29,2,3,No
EMP00481,80.0,18,3,4,No
EMP00482,96.3,29,1,2,No
EMP00483,91.8,25,2,4,No
EMP00484,80.4,4,5,3,No
EMP00485,100.0,30,5,4,No
EMP00486,96.3,14,1,3,No
EMP00487,75.8,21,4,3,No
EMP00488,82.6,14,4,2,No
EMP00489,77.8,22,5,5,No
EMP00490,93.1,25,5,4,No
EMP00491,88.9,23,3,4,No
EMP00492,87.4,6,5,2,No
EMP00493,96.8,4,2,2,No
EMP00494,80.2,3,4,3,Yes
EMP00495,95.5,1,2,3,Yes
EMP00496,95.1,1,1,1,No
EMP00497,85.8,13,3,3,No
EMP00498,85.0,4,5,3,No
EMP00499,75.7,14,4,1,No
EMP00500,76.7,11,5,4,Yes
EMP00501,83.5,7,2,4,Yes
EMP00502,99.8,11,1,2,No
EMP00503,90.7,23,4,4,Yes
EMP00504,83.9,0,5,1,No
EMP00505,99.3,20,5,3,No
EMP00506,92.3,28,4,1,No
EMP00507,95.4,16,2,2,No
EMP00508,88.3,3,3,1,No
EMP00509,85.5,28,5,4,No
EMP00510,82.4,10,1,5,No
EMP00511,89.8,2,1,3,No
EMP00512,92.0,13,2,1,No
EMP00513,100.0,25,5,3,No
EMP00514,96.0,14,5,2,No
EMP00515,93.1,24,3,5,No
EMP00516,94.3,18,3,5,No
EMP00517,85.2,7,1,4,No
EMP00518,77.1,24,2,5,No
EMP00519,76.0,25,1,2,No
EMP00520,87.5,2,3,1,No
EMP00521,76.6,8,5,3,Yes
EMP00522,83.5,27,1,5,No
EMP00523,97.7,5,1,2,No
EMP00524,93.5,8,2,2,No
EMP00525,93.3,15,3,3,Yes
EMP00526,84.3,12,3,2,No
EMP00527,97.8,18,5,1,No
EMP00528,83.8,29,4,1,Yes
EMP00529,82.6,0,4,3,No
EMP00530,93.5,30,5,5,No
EMP00531,79.0,30,2,4,No
EMP00532,96.8,1,1,1,No
EMP00533,75.0,6,1,1,No
EMP00534,92.4,17,3,4,Yes
EMP00535,95.6,12,2,4,No
EMP00536,88.3,17,3,3,No
EMP00537,89.5,15,4,3,No
EMP00538,96.0,3,5,4,No
EMP00539,76.4,7,1,2,No
EMP00540,93.6,2,5,5,No
EMP00541,91.6,14,2,2,No
EMP00542,95.9,26,4,5,No
EMP00543,88.5,1,3,1,No
EMP00544,77.8,27,5,1,No
EMP00545,96.4,20,3,3,No
EMP00546,86.9,5,2,5,Yes
EMP00547,90.0,13,5,3,No
EMP00548,94.7,22,2,4,Yes
EMP00549,94.7,29,1,1,No
EMP00550,81.3,12,5,1,No
EMP00551,87.0,10,5,3,No
EMP00552,91.7,15,1,4,No
EMP00553,87.9,26,5,5,No
EMP00554,91.1,26,2,4,No
EMP00555,85.5,22,2,5,No
EMP00556,97.5,21,3,4,No
EMP00557,77.8,25,1,3,Yes
EMP00558,94.0,26,2,5,No
EMP00559,92.6,9,3,3,No
EMP00560,89.0,19,2,2,No
EMP00561,80.2,9,2,5,No
EMP00562,81.3,30,2,5,No
EMP00563,91.5,25,1,5,No
EMP00564,89.2,14,4,5,No
EMP00565,76.6,17,4,3,No
EMP00566,86.5,7,4,5,No
EMP00567,86.7,3,2,2,No
EMP00568,99.3,29,4,3,No
EMP00569,80.4,10,2,3,No
EMP00570,82.4,19,5,1,No
EMP00571,75.4,24,3,3,No
EMP00572,85.8,23,4,5,No
EMP00573,79.6,13,5,1,No
EMP00574,95.4,25,1,3,No
EMP00575,81.4,22,4,3,No
EMP00576,78.0,6,3,5,No
EMP00577,96.4,19,2,3,No
EMP00578,89.8,19,2,1,No
EMP00579,92.4,12,2,4,No
EMP00580,97.4,25,2,5,Yes
EMP00581,85.0,5,2,3,No
EMP00582,87.2,3,2,2,No
EMP00583,95.1,15,1,2,Yes
EMP00584,97.0,2,3,4,No
EMP00585,99.5,17,2,4,No
EMP00586,77.3,28,1,3,No
EMP00587,75.1,13,1,2,No
EMP00588,95.7,16,2,5,No
EMP00589,76.8,4,4,3,No
EMP00590,81.1,23,5,2,No
EMP00591,75.4,8,2,4,No
EMP00592,77.1,24,5,4,Yes
EMP00593,78.6,11,4,5,No
EMP00594,89.5,1,3,4,Yes
EMP00595,93.4,27,2,3,No
EMP00596,97.7,9,5,1,Yes
EMP00597,95.0,22,4,4,No
EMP00598,78.2,20,3,3,No
EMP00599,76.4,6,1,5,No
EMP00600,89.5,29,4,4,No
EMP00601,93.7,15,1,2,No
EMP00602,83.8,4,5,4,No
EMP00603,79.6,1,1,5,No
EMP00604,100.0,24,2,5,No
EMP00605,92.4,19,2,4,No
EMP00606,81.0,22,5,2,No
EMP00607,76.6,2,5,5,No
EMP00608,78.2,30,2,1,No
EMP00609,97.6,21,4,3,No
EMP00610,90.8,27,2,3,Yes
EMP00611,79.4,0,2,5,No
EMP00612,95.6,19,3,3,No
EMP00613,97.5,21,3,4,No
EMP00614,82.8,10,3,2,No
EMP00615,87.5,26,3,3,No
EMP00616,97.5,25,2,5,No
EMP00617,94.7,5,3,4,No
EMP00618,84.8,6,5,4,No
EMP00619,96.7,15,5,5,No
EMP00620,77.4,3,5,2,No
EMP00621,90.6,29,5,2,No
EMP00622,98.0,26,3,4,No
EMP00623,90.3,30,5,2,No
EMP00624,89.0,12,4,2,No
EMP00625,87.6,24,5,3,No
EMP00626,96.5,14,5,1,No
EMP00627,90.8,14,1,5,No
EMP00628,76.9,1,2,5,No
EMP00629,80.3,6,3,5,Yes
EMP00630,89.6,22,1,3,Yes
EMP00631,85.0,13,3,4,No
EMP00632,90.4,26,5,2,No
EMP00633,84.5,7,5,5,No
EMP00634,95.7,8,4,3,No
EMP00635,90.4,14,3,3,No
EMP00636,92.4,4,5,1,No
EMP00637,84.9,5,2,2,No
EMP00638,89.4,21,1,4,No
EMP00639,77.8,5,4,5,No
EMP00640,92.6,27,3,5,No
EMP00641,96.9,9,4,4,No
EMP00642,78.1,17,1,4,No
EMP00643,77.1,28,5,5,No
EMP00644,98.4,29,4,4,No
EMP00645,94.3,21,4,2,No
EMP00646,87.1,2,1,2,No
EMP00647,79.1,16,1,5,No
EMP00648,88.4,16,5,1,Yes
EMP00649,84.7,5,3,2,No
EMP00650,94.7,3,1,2,No
EMP00651,77.0,3,1,4,No
EMP00652,87.2,13,3,5,No
EMP00653,95.6,1,4,4,No
EMP00654,96.5,22,5,3,No
EMP00655,82.6,25,1,5,No
EMP00656,76.0,0,3,2,No
EMP00657,93.9,12,5,5,No
EMP00658,80.0,18,4,5,No
EMP00659,83.5,18,2,5,No
EMP00660,99.9,12,1,2,No
EMP00661,77.7,10,2,4,No
EMP00662,96.5,24,1,2,No
EMP00663,96.8,1,3,5,Yes
EMP00664,99.7,19,5,1,No
EMP00665,84.3,26,1,5,No
EMP00666,77.9,15,3,5,No
EMP00667,94.8,19,3,5,No
EMP00668,94.3,7,4,1,No
EMP00669,84.4,30,4,4,No
EMP00670,87.9,17,4,2,No
EMP00671,90.7,20,3,4,No
EMP00672,97.5,6,3,3,Yes
EMP00673,83.8,9,3,5,No
EMP00674,90.9,15,5,2,No
EMP00675,76.4,7,3,3,No
EMP00676,87.2,19,2,5,No
EMP00677,96.1,14,5,3,No
EMP00678,98.7,7,2,5,Yes
EMP00679,77.4,11,1,2,Yes
EMP00680,89.9,27,1,1,No
EMP00681,77.4,1,1,2,No
EMP00682,96.2,10,5,2,No
EMP00683,81.5,23,2,5,No
EMP00684,90.9,28,4,5,No
EMP00685,97.2,28,3,4,Yes
EMP00686,98.3,21,3,1,Yes
EMP00687,75.3,11,5,4,No
EMP00688,80.2,6,2,5,No
EMP00689,90.9,5,5,4,No
EMP00690,85.0,2,3,5,Yes
EMP00691,84.0,27,1,3,No
EMP00692,75.1,18,4,2,No
EMP00693,91.6,20,3,4,Yes
EMP00694,95.4,0,2,2,Yes
EMP00695,75.9,11,3,4,No
EMP00696,83.9,11,5,5,No
EMP00697,85.4,24,1,5,No
EMP00698,89.6,12,5,2,No
EMP00699,75.1,17,2,4,No
EMP00700,84.7,27,2,3,No
EMP00701,79.9,0,5,3,No
EMP00702,77.0,23,4,4,No
EMP00703,97.5,9,5,3,Yes
EMP00704,77.9,27,4,1,No
EMP00705,95.0,4,2,4,No
EMP00706,87.8,0,1,4,No
EMP00707,93.4,1,3,5,Yes
EMP00708,76.5,13,5,5,No
EMP00709,89.1,20,4,1,No
EMP00710,95.0,26,5,5,No
EMP00711,85.0,14,2,5,No
EMP00712,78.8,9,4,5,No
EMP00713,94.0,7,2,5,No
EMP00714,84.2,13,1,2,No
EMP00715,91.2,29,5,2,Yes
EMP00716,80.0,26,5,4,Yes
EMP00717,90.3,5,5,3,No
EMP00718,94.2,21,4,3,No
EMP00719,85.8,21,1,5,No
EMP00720,87.1,13,2,2,No
EMP00721,78.0,30,3,1,No
EMP00722,78.8,27,1,4,Yes
EMP00723,94.7,24,2,4,No
EMP00724,99.1,8,4,3,No
EMP00725,94.7,29,3,4,No
EMP00726,96.6,25,5,5,No
EMP00727,78.4,18,2,3,No
EMP00728,96.5,9,1,3,No
EMP00729,81.3,26,1,3,No
EMP00730,96.0,8,5,2,No
EMP00731,90.5,10,3,5,Yes
EMP00732,82.2,26,5,1,No
EMP00733,96.8,13,4,4,No
EMP00734,87.5,11,4,5,No
EMP00735,80.9,2,2,2,No
EMP00736,84.0,24,5,5,No
EMP00737,76.7,22,2,3,No
EMP00738,82.7,9,3,1,No
EMP00739,88.9,19,4,5,Yes
EMP00740,93.6,6,5,5,No
EMP00741,92.3,23,4,2,No
EMP00742,96.6,6,3,4,No
EMP00743,96.7,21,1,5,Yes
EMP00744,91.8,7,4,4,Yes
EMP00745,86.3,16,3,4,No
EMP00746,75.9,16,1,3,No
EMP00747,99.8,9,4,4,Yes
EMP00748,84.0,10,4,5,No
EMP00749,95.9,18,5,5,No
EMP00750,81.3,13,1,2,No
EMP00751,97.1,1,1,3,Yes
EMP00752,78.8,27,4,5,Yes
EMP00753,86.9,7,4,1,No
EMP00754,82.9,16,4,4,No
EMP00755,97.6,0,1,1,No
EMP00756,78.8,3,3,1,No
EMP00757,77.3,25,2,4,No
EMP00758,84.7,27,5,2,No
EMP00759,92.1,11,2,1,No
EMP00760,79.7,22,5,2,Yes
EMP00761,99.1,12,1,2,No
