EmployeeID,PerformanceRating,TrainingHours,Promotion
EMP00166,5,30,No
EMP00167,4,34,No
EMP00168,2,49,Yes
EMP00169,3,33,No
EMP00170,3,5,No
EMP00171,4,44,Yes
EMP00172,4,18,No
EMP00173,4,34,Yes
EMP00174,2,20,Yes
EMP00175,4,48,No
EMP00176,5,46,Yes
EMP00177,4,60,No
EMP00178,2,7,No
EMP00179,2,44,Yes
EMP00180,4,31,Yes
EMP00181,5,57,Yes
EMP00182,3,37,No
EMP00183,4,24,No
EMP00184,2,1,No
EMP00185,5,57,Yes
EMP00186,3,23,No
EMP00187,5,68,No
EMP00188,4,44,No
EMP00189,3,33,Yes
EMP00190,4,30,No
EMP00191,4,63,Yes
EMP00192,3,28,Yes
EMP00193,2,65,Yes
EMP00194,5,60,No
EMP00195,2,49,No
EMP00196,2,17,No
EMP00197,4,23,No
EMP00198,2,12,Yes
EMP00199,2,52,No
EMP00200,3,3,Yes
EMP00201,4,20,No
EMP00202,3,54,Yes
EMP00203,3,65,Yes
EMP00204,4,54,No
EMP00205,2,9,No
EMP00206,2,31,No
EMP00207,3,42,Yes
EMP00208,3,77,No
EMP00209,4,6,No
EMP00210,2,18,No
EMP00211,5,20,No
EMP00212,3,40,Yes
EMP00213,3,57,Yes
EMP00214,4,65,No
EMP00215,2,48,No
EMP00216,4,64,No
EMP00217,4,70,No
EMP00218,4,29,No
EMP00219,3,6,Yes
EMP00220,4,36,Yes
EMP00221,5,22,No
EMP00222,3,15,Yes
EMP00223,2,8,Yes
EMP00224,2,62,No
EMP00225,3,31,No
EMP00226,4,76,Yes
EMP00227,5,23,No
EMP00228,3,66,Yes
EMP00229,3,47,Yes
EMP00230,3,49,No
EMP00231,3,34,Yes
EMP00232,4,32,Yes
EMP00233,3,18,Yes
EMP00234,4,73,Yes
EMP00235,2,42,Yes
EMP00236,4,27,Yes
EMP00237,2,58,No
EMP00238,5,22,Yes
EMP00239,4,70,Yes
EMP00240,5,59,No
EMP00241,5,19,Yes
EMP00242,4,31,Yes
EMP00243,5,20,No
EMP00244,5,60,Yes
EMP00245,2,28,No
EMP00246,3,48,No
EMP00247,3,34,Yes
EMP00248,3,66,Yes
EMP00249,3,15,No
EMP00250,5,12,No
EMP00251,5,22,Yes
EMP00252,5,44,Yes
EMP00253,3,68,Yes
EMP00254,3,19,No
EMP00255,2,36,No
EMP00256,4,65,No
EMP00257,3,33,Yes
EMP00258,2,59,Yes
EMP00259,2,6,No
EMP00260,4,15,No
EMP00261,4,36,Yes
EMP00262,5,43,Yes
EMP00263,5,72,Yes
EMP00264,4,35,No
EMP00265,4,64,Yes
EMP00266,5,72,No
EMP00267,5,56,Yes
EMP00268,2,27,Yes
EMP00269,4,70,No
EMP00270,3,68,No
EMP00271,5,66,No
EMP00272,5,45,No
EMP00273,2,34,Yes
EMP00274,4,79,Yes
EMP00275,3,47,No
EMP00276,2,31,Yes
EMP00277,3,76,Yes
EMP00278,3,38,No
EMP00279,3,24,Yes
EMP00280,3,25,No
EMP00281,5,2,Yes
EMP00282,5,27,Yes
EMP00283,3,37,Yes
EMP00284,5,77,Yes
EMP00285,5,4,Yes
EMP00286,2,45,No
EMP00287,5,50,No
EMP00288,3,62,No
EMP00289,5,65,Yes
EMP00290,3,64,Yes
EMP00291,3,0,No
EMP00292,5,66,Yes
EMP00293,2,32,Yes
EMP00294,5,69,Yes
EMP00295,3,52,Yes
EMP00296,2,28,No
EMP00297,2,13,Yes
EMP00298,2,42,No
EMP00299,3,70,No
EMP00300,2,5,Yes
EMP00301,4,44,Yes
EMP00302,2,32,Yes
EMP00303,5,53,No
EMP00304,4,48,No
EMP00305,5,27,Yes
EMP00306,3,61,Yes
EMP00307,3,68,No
EMP00308,4,17,Yes
EMP00309,4,46,Yes
EMP00310,4,79,Yes
EMP00311,2,27,No
EMP00312,3,34,Yes
EMP00313,3,8,Yes
EMP00314,5,42,No
EMP00315,3,58,Yes
EMP00316,2,20,Yes
EMP00317,5,66,Yes
EMP00318,4,76,No
EMP00319,5,5,Yes
EMP00320,4,13,Yes
EMP00321,5,34,No
EMP00322,2,69,Yes
EMP00323,4,45,No
EMP00324,4,46,Yes
EMP00325,3,71,No
EMP00326,2,25,Yes
EMP00327,4,2,Yes
EMP00328,3,33,No
EMP00329,5,26,Yes
EMP00330,3,13,Yes
EMP00331,3,25,Yes
EMP00332,5,17,Yes
EMP00333,5,54,Yes
EMP00334,4,76,Yes
EMP00335,4,58,Yes
EMP00336,4,73,No
EMP00337,5,35,Yes
EMP00338,2,7,Yes
EMP00339,5,0,Yes
EMP00340,5,76,No
EMP00341,5,9,No
EMP00342,4,38,No
EMP00343,5,23,Yes
EMP00344,4,51,Yes
EMP00345,3,31,No
EMP00346,5,80,Yes
EMP00347,5,64,No
EMP00348,2,4,Yes
EMP00349,4,68,No
EMP00350,4,51,No
EMP00351,3,32,Yes
EMP00352,3,39,Yes
EMP00353,2,73,Yes
EMP00354,2,75,No
EMP00355,2,4,No
EMP00356,3,32,No
EMP00357,4,9,Yes
EMP00358,2,45,Yes
EMP00359,2,76,Yes
EMP00360,3,35,No
EMP00361,3,9,Yes
EMP00362,5,13,Yes
EMP00363,3,2,No
EMP00364,5,16,Yes
EMP00365,4,32,No
EMP00366,5,52,No
EMP00367,5,14,Yes
EMP00368,2,76,Yes
EMP00369,5,36,Yes
EMP00370,4,43,Yes
EMP00371,3,68,No
EMP00372,4,27,No
EMP00373,2,55,Yes
EMP00374,5,11,Yes
EMP00375,2,33,No
EMP00376,2,19,No
EMP00377,3,5,Yes
EMP00378,5,24,No
EMP00379,2,65,No
EMP00380,4,33,Yes
EMP00381,2,76,Yes
EMP00382,5,61,Yes
EMP00383,2,58,No
EMP00384,5,75,Yes
EMP00385,4,71,Yes
EMP00386,3,34,Yes
EMP00387,2,72,Yes
EMP00388,2,63,No
EMP00389,5,66,No
EMP00390,5,39,Yes
EMP00391,5,68,No
EMP00392,4,43,Yes
EMP00393,2,17,No
EMP00394,4,16,Yes
EMP00395,5,76,Yes
EMP00396,4,58,Yes
EMP00397,2,7,Yes
EMP00398,3,31,No
EMP00399,3,7,Yes
EMP00400,4,55,No
EMP00401,5,68,Yes
EMP00402,5,45,No
EMP00403,3,35,No
EMP00404,2,24,Yes
EMP00405,3,36,Yes
EMP00406,4,13,No
EMP00407,3,21,No
EMP00408,3,15,No
EMP00409,2,30,Yes
EMP00410,3,72,No
EMP00411,2,11,No
EMP00412,4,46,Yes
EMP00413,2,79,Yes
EMP00414,2,54,Yes
EMP00415,5,50,Yes
EMP00416,3,59,No
EMP00417,5,69,No
EMP00418,3,48,No
EMP00419,5,4,No
EMP00420,4,9,No
EMP00421,2,16,No
EMP00422,2,48,Yes
EMP00423,4,3,Yes
EMP00424,5,65,No
EMP00425,5,73,Yes
EMP00426,5,79,Yes
EMP00427,5,71,No
EMP00428,2,77,No
EMP00429,2,74,Yes
EMP00430,3,39,No
EMP00431,4,14,Yes
EMP00432,5,45,Yes
EMP00433,3,22,Yes
EMP00434,5,57,Yes
EMP00435,2,80,No
EMP00436,5,24,No
EMP00437,5,17,No
EMP00438,5,4,Yes
EMP00439,3,49,No
EMP00440,3,66,Yes
EMP00441,3,58,No
EMP00442,4,69,No
EMP00443,2,57,No
EMP00444,2,52,No
EMP00445,4,4,No
EMP00446,5,60,Yes
EMP00447,4,72,No
EMP00448,5,33,No
EMP00449,4,13,No
EMP00450,5,75,Yes
EMP00451,5,58,No
EMP00452,5,5,Yes
EMP00453,3,77,Yes
EMP00454,5,69,Yes
EMP00455,3,27,Yes
EMP00456,3,68,No
EMP00457,3,12,No
EMP00458,4,10,No
EMP00459,4,17,Yes
EMP00460,5,50,Yes
EMP00461,5,8,No
EMP00462,3,4,Yes
EMP00463,5,62,No
EMP00464,3,46,Yes
EMP00465,4,2,No
EMP00466,3,18,Yes
EMP00467,2,15,No
EMP00468,5,47,Yes
EMP00469,5,50,No
EMP00470,3,33,Yes
EMP00471,3,37,Yes
EMP00472,3,48,No
EMP00473,4,8,No
EMP00474,4,44,No
EMP00475,3,72,No
EMP00476,3,75,Yes
EMP00477,4,72,Yes
EMP00478,5,19,Yes
EMP00479,3,55,No
EMP00480,5,64,Yes
EMP00481,3,77,Yes
EMP00482,4,74,No
EMP00483,4,71,Yes
EMP00484,4,61,No
EMP00485,2,75,Yes
EMP00486,3,26,No
EMP00487,4,64,No
EMP00488,3,28,Yes
EMP00489,3,49,No
EMP00490,4,15,No
EMP00491,3,1,No
EMP00492,2,28,No
EMP00493,4,72,Yes
EMP00494,5,27,Yes
EMP00495,4,21,Yes
EMP00496,5,72,No
EMP00497,3,29,Yes
EMP00498,2,67,Yes
EMP00499,2,19,Yes
EMP00500,5,70,No
EMP00501,3,36,No
EMP00502,4,31,No
EMP00503,2,12,No
EMP00504,3,22,No
EMP00505,3,76,Yes
EMP00506,5,8,Yes
EMP00507,4,5,Yes
EMP00508,2,77,Yes
EMP00509,5,5,Yes
EMP00510,3,66,No
EMP00511,2,13,Yes
EMP00512,3,27,Yes
EMP00513,5,46,No
EMP00514,5,39,No
EMP00515,2,55,Yes
EMP00516,4,41,Yes
EMP00517,2,33,No
EMP00518,3,17,Yes
EMP00519,4,61,No
EMP00520,3,62,No
EMP00521,3,64,No
EMP00522,2,20,No
EMP00523,5,13,Yes
EMP00524,5,29,Yes
EMP00525,4,25,No
EMP00526,2,37,Yes
EMP00527,4,73,No
EMP00528,3,56,Yes
EMP00529,4,77,Yes
EMP00530,4,52,Yes
EMP00531,5,39,No
EMP00532,4,69,No
EMP00533,5,6,No
EMP00534,3,35,No
EMP00535,3,65,No
EMP00536,4,46,Yes
EMP00537,5,17,No
EMP00538,5,17,Yes
EMP00539,4,25,No
EMP00540,4,33,No
EMP00541,2,0,Yes
EMP00542,4,63,No
EMP00543,3,7,Yes
EMP00544,3,7,No
EMP00545,2,80,Yes
EMP00546,4,47,No
EMP00547,4,80,Yes
EMP00548,5,2,No
EMP00549,5,14,Yes
EMP00550,4,71,No
EMP00551,4,15,No
EMP00552,4,34,No
EMP00553,2,68,No
EMP00554,2,43,Yes
EMP00555,3,69,Yes
EMP00556,2,71,No
EMP00557,3,26,Yes
EMP00558,5,34,No
EMP00559,2,49,No
EMP00560,3,48,No
EMP00561,3,40,Yes
EMP00562,2,58,No
EMP00563,3,8,No
EMP00564,3,65,Yes
EMP00565,5,21,No
EMP00566,4,69,Yes
EMP00567,3,80,No
EMP00568,2,54,No
EMP00569,4,12,Yes
EMP00570,5,70,Yes
EMP00571,5,70,No
EMP00572,5,23,Yes
EMP00573,5,6,No
EMP00574,3,69,No
EMP00575,5,38,No
EMP00576,5,48,No
EMP00577,2,2,Yes
EMP00578,5,39,Yes
EMP00579,2,38,No
EMP00580,5,31,Yes
EMP00581,2,10,Yes
EMP00582,5,30,No
EMP00583,3,17,Yes
EMP00584,3,52,Yes
EMP00585,2,33,No
EMP00586,3,77,No
EMP00587,3,9,Yes
EMP00588,4,36,No
EMP00589,3,32,No
EMP00590,5,63,No
EMP00591,2,18,Yes
EMP00592,3,63,No
EMP00593,5,28,Yes
EMP00594,2,65,No
EMP00595,3,6,No
EMP00596,2,66,Yes
EMP00597,4,31,Yes
EMP00598,2,48,Yes
EMP00599,5,13,Yes
EMP00600,2,8,No
EMP00601,3,49,Yes
EMP00602,2,37,No
EMP00603,4,30,Yes
EMP00604,3,65,No
EMP00605,2,9,No
EMP00606,2,23,Yes
EMP00607,2,71,Yes
EMP00608,2,14,No
EMP00609,3,37,No
EMP00610,5,6,Yes
EMP00611,5,16,Yes
EMP00612,4,32,No
EMP00613,3,10,No
EMP00614,5,7,No
EMP00615,3,37,Yes
EMP00616,4,0,Yes
EMP00617,2,35,No
EMP00618,3,6,No
EMP00619,2,62,No
EMP00620,3,9,Yes
EMP00621,5,67,Yes
EMP00622,2,3,Yes
EMP00623,2,24,Yes
EMP00624,5,22,Yes
EMP00625,2,39,Yes
EMP00626,2,7,Yes
EMP00627,4,50,Yes
EMP00628,2,54,Yes
EMP00629,3,77,Yes
EMP00630,3,54,No
EMP00631,2,34,No
EMP00632,2,47,Yes
EMP00633,3,71,Yes
EMP00634,4,61,Yes
EMP00635,4,42,No
EMP00636,4,66,Yes
EMP00637,2,35,No
EMP00638,3,46,Yes
EMP00639,2,13,No
EMP00640,5,7,Yes
EMP00641,2,80,No
EMP00642,5,72,Yes
EMP00643,5,38,No
EMP00644,2,47,No
EMP00645,3,20,No
EMP00646,4,24,Yes
EMP00647,4,6,No
EMP00648,4,0,Yes
EMP00649,3,39,Yes
EMP00650,4,53,No
EMP00651,2,62,Yes
EMP00652,4,64,Yes
EMP00653,3,21,No
EMP00654,5,67,No
EMP00655,4,38,Yes
EMP00656,2,19,Yes
EMP00657,3,43,Yes
EMP00658,4,52,Yes
EMP00659,5,18,Yes
EMP00660,2,74,Yes
EMP00661,4,59,Yes
EMP00662,3,69,No
EMP00663,2,34,No
EMP00664,5,72,No
EMP00665,3,70,Yes
EMP00666,2,9,No
EMP00667,3,47,No
EMP00668,2,59,No
EMP00669,4,32,No
EMP00670,4,17,No
EMP00671,5,27,Yes
EMP00672,4,47,No
EMP00673,3,7,Yes
EMP00674,3,43,Yes
EMP00675,2,36,Yes
EMP00676,3,61,No
EMP00677,2,75,Yes
EMP00678,5,50,No
EMP00679,5,53,Yes
EMP00680,4,30,No
EMP00681,3,24,No
EMP00682,4,19,No
EMP00683,2,54,Yes
EMP00684,2,76,Yes
EMP00685,3,12,Yes
EMP00686,3,29,No
EMP00687,5,20,Yes
EMP00688,4,25,No
EMP00689,2,12,Yes
EMP00690,3,62,No
EMP00691,2,17,Yes
EMP00692,2,21,Yes
EMP00693,5,20,Yes
EMP00694,2,3,Yes
EMP00695,4,71,No
EMP00696,2,77,No
EMP00697,4,18,No
EMP00698,4,19,No
EMP00699,2,51,No
EMP00700,5,6,No
EMP00701,4,12,Yes
EMP00702,3,80,No
EMP00703,4,41,No
EMP00704,4,78,No
EMP00705,2,49,Yes
EMP00706,3,62,Yes
EMP00707,3,34,No
EMP00708,4,39,No
EMP00709,3,46,No
EMP00710,4,49,No
EMP00711,3,17,Yes
EMP00712,3,22,Yes
EMP00713,5,33,No
EMP00714,5,63,No
EMP00715,4,76,Yes
EMP00716,4,14,No
EMP00717,3,62,Yes
EMP00718,4,56,No
EMP00719,2,28,Yes
EMP00720,5,18,No
EMP00721,2,47,Yes
EMP00722,2,6,Yes
EMP00723,2,34,Yes
EMP00724,3,18,Yes
EMP00725,4,12,Yes
EMP00726,3,47,No
EMP00727,3,46,No
EMP00728,4,71,Yes
EMP00729,3,18,No
EMP00730,4,33,No
EMP00731,2,49,No
EMP00732,3,68,No
EMP00733,4,46,Yes
EMP00734,4,31,No
EMP00735,2,5,Yes
EMP00736,4,63,No
EMP00737,2,7,No
EMP00738,5,22,Yes
EMP00739,5,46,No
EMP00740,4,49,No
EMP00741,2,45,No
EMP00742,4,80,Yes
EMP00743,4,51,No
EMP00744,4,57,No
EMP00745,3,43,Yes
EMP00746,3,2,Yes
EMP00747,3,55,Yes
EMP00748,5,33,Yes
EMP00749,5,26,Yes
EMP00750,4,63,No
EMP00751,2,27,Yes
EMP00752,3,24,No
EMP00753,3,27,No
EMP00754,4,13,No
EMP00755,3,38,No
EMP00756,3,7,Yes
EMP00757,5,3,No
EMP00758,3,80,Yes
EMP00759,5,2,Yes
EMP00760,4,3,Yes
EMP00761,4,60,No
EMP00762,3,20,No
EMP00763,3,35,No
EMP00764,5,66,No
EMP00765,2,27,No
EMP00766,2,17,No
EMP00767,5,69,No
EMP00768,3,47,No
EMP00769,5,16,Yes
EMP00770,3,71,No
EMP00771,5,4,Yes
EMP00772,5,42,Yes
EMP00773,3,0,Yes
EMP00774,5,15,Yes
EMP00775,2,55,No
EMP00776,3,7,Yes
EMP00777,3,37,No
EMP00778,3,49,No
EMP00779,3,19,No
EMP00780,2,54,No
EMP00781,2,54,Yes
EMP00782,2,39,Yes
EMP00783,5,31,Yes
EMP00784,5,55,Yes
EMP00785,5,67,Yes
EMP00786,4,59,Yes
EMP00787,3,48,Yes
EMP00788,3,5,Yes
EMP00789,5,35,No
EMP00790,5,31,No
EMP00791,3,47,No
EMP00792,4,26,No
EMP00793,3,55,Yes
EMP00794,2,44,No
EMP00795,3,68,No
EMP00796,5,28,Yes
EMP00797,5,32,Yes
EMP00798,3,44,Yes
EMP00799,2,5,Yes
EMP00800,2,74,No
EMP00801,4,3,No
EMP00802,4,14,Yes
EMP00803,5,71,No
EMP00804,4,8,Yes
EMP00805,3,43,Yes
EMP00806,2,27,Yes
EMP00807,4,68,No
EMP00808,5,20,Yes
EMP00809,4,46,No
EMP00810,4,64,No
EMP00811,3,12,No
EMP00812,5,15,Yes
EMP00813,4,72,No
EMP00814,4,23,Yes
EMP00815,5,17,Yes
EMP00816,2,5,No
EMP00817,2,71,Yes
EMP00818,2,63,Yes
EMP00819,2,58,No
EMP00820,3,57,Yes
EMP00821,2,12,No
EMP00822,2,34,Yes
EMP00823,3,20,Yes
EMP00824,3,59,Yes
EMP00825,2,32,No
EMP00826,4,56,Yes
EMP00827,4,17,No
EMP00828,3,55,Yes
EMP00829,4,25,No
EMP00830,2,80,No
EMP00831,3,39,Yes
EMP00832,4,11,Yes
EMP00833,3,48,Yes
EMP00834,4,79,Yes
EMP00835,2,6,No
EMP00836,4,27,No
EMP00837,4,33,No
EMP00838,2,17,No
EMP00839,4,23,No
EMP00840,5,36,Yes
EMP00841,2,56,Yes
EMP00842,2,9,No
EMP00843,2,2,No
EMP00844,5,17,No
EMP00845,4,74,Yes
EMP00846,2,34,No
EMP00847,5,76,No
EMP00848,2,75,Yes
EMP00849,3,20,No
EMP00850,2,38,No
EMP00851,2,17,Yes
EMP00852,4,30,Yes
EMP00853,4,43,No
EMP00854,5,62,Yes
EMP00855,2,76,No
EMP00856,3,54,No
EMP00857,5,66,Yes
EMP00858,3,41,Yes
EMP00859,5,72,No
EMP00860,4,58,Yes
EMP00861,5,73,No
EMP00862,4,61,No
EMP00863,5,21,No
EMP00864,4,11,Yes
EMP00865,5,32,Yes
EMP00866,2,47,Yes
EMP00867,5,9,No
EMP00868,4,17,Yes
EMP00869,4,46,No
EMP00870,3,43,Yes
EMP00871,4,30,Yes
EMP00872,4,71,No
EMP00873,2,74,Yes
EMP00874,2,75,Yes
EMP00875,4,78,Yes
EMP00876,5,23,Yes
EMP00877,2,50,No
EMP00878,5,33,Yes
EMP00879,3,41,Yes
EMP00880,2,80,No
EMP00881,3,67,No
EMP00882,3,32,No
EMP00883,2,66,Yes
EMP00884,2,67,Yes
EMP00885,4,36,No
EMP00886,5,39,Yes
EMP00887,5,40,Yes
EMP00888,3,69,Yes
EMP00889,5,31,Yes
EMP00890,2,50,No
EMP00891,3,61,Yes
EMP00892,2,65,Yes
EMP00893,5,50,Yes
EMP00894,2,4,Yes
EMP00895,2,18,Yes
EMP00896,4,75,No
EMP00897,5,11,No
EMP00898,3,44,No
EMP00899,5,20,Yes
EMP00900,3,12,No
EMP00901,4,0,Yes
EMP00902,3,52,Yes
EMP00903,4,60,No
EMP00904,5,55,No
EMP00905,4,62,Yes
EMP00906,2,47,Yes
EMP00907,3,67,Yes
EMP00908,2,53,No
EMP00909,4,73,No
EMP00910,4,12,Yes
EMP00911,3,37,Yes
EMP00912,3,0,No
EMP00913,2,37,Yes
EMP00914,5,72,No
EMP00915,3,32,Yes
EMP00916,4,44,No
EMP00917,2,77,Yes
EMP00918,3,48,Yes
EMP00919,2,5,Yes
EMP00920,2,59,No
EMP00921,2,18,No
EMP00922,5,69,Yes
EMP00923,3,44,Yes
EMP00924,4,68,No
EMP00925,5,76,No
EMP00926,2,19,No
EMP00927,4,37,Yes
EMP00928,5,33,No
EMP00929,3,71,No
EMP00930,2,77,Yes
EMP00931,4,39,Yes
EMP00932,2,7,No
EMP00933,5,39,Yes
EMP00934,4,25,No
EMP00935,2,68,Yes
EMP00936,2,1,No
EMP00937,4,76,No
EMP00938,2,61,No
EMP00939,2,15,No
EMP00940,2,25,Yes
EMP00941,5,49,No
EMP00942,3,13,No
EMP00943,5,62,Yes
EMP00944,2,1,No
EMP00945,5,6,Yes
EMP00946,3,36,No
EMP00947,2,41,Yes
EMP00948,3,34,No
EMP00949,3,56,No
EMP00950,2,1,Yes
EMP00951,2,58,No
EMP00952,2,23,Yes
EMP00953,3,48,Yes
EMP00954,3,53,Yes
EMP00955,5,72,No
EMP00956,3,2,No
EMP00957,3,33,Yes
EMP00958,3,22,No
EMP00959,4,21,No
EMP00960,4,34,Yes
EMP00961,3,27,Yes
EMP00962,2,79,No
EMP00963,5,51,No
EMP00964,4,79,Yes
EMP00965,2,57,Yes
EMP00966,4,58,No
EMP00967,2,79,No
EMP00968,4,70,No
EMP00969,4,51,Yes
EMP00970,2,54,Yes
EMP00971,4,34,No
EMP00972,4,0,Yes
EMP00973,3,61,No
EMP00974,2,53,No
EMP00975,3,53,No
EMP00976,5,54,No
EMP00977,3,16,No
EMP00978,3,17,No
EMP00979,3,77,Yes
EMP00980,3,67,Yes
EMP00981,2,33,No
EMP00982,5,48,Yes
EMP00983,5,3,No
EMP00984,4,41,Yes
EMP00985,2,15,Yes
EMP00986,5,35,Yes
EMP00987,2,72,No
EMP00988,2,48,Yes
EMP00989,3,23,Yes
EMP00990,2,47,Yes
EMP00991,2,64,No
EMP00992,2,14,Yes
EMP00993,4,26,Yes
EMP00994,4,73,No
EMP00995,4,19,No
EMP00996,4,63,No
EMP00997,3,47,No
EMP00998,5,51,No
EMP00999,3,7,No
EMP01000,3,27,Yes
EMP01001,3,26,No
EMP01002,4,5,Yes
EMP01003,5,18,No
EMP01004,2,59,Yes
EMP01005,5,30,No
EMP01006,3,57,No
EMP01007,4,44,Yes
EMP01008,4,52,No
EMP01009,3,10,Yes
EMP01010,5,28,No
EMP01011,5,59,Yes
EMP01012,2,10,Yes
EMP01013,2,77,Yes
EMP01014,3,68,Yes
EMP01015,5,70,No
EMP01016,3,19,Yes
EMP01017,4,76,Yes
EMP01018,5,21,Yes
EMP01019,3,25,Yes
EMP01020,2,16,Yes
EMP01021,4,69,Yes
EMP01022,2,22,Yes
EMP01023,5,73,Yes
EMP01024,3,57,No
EMP01025,2,6,Yes
EMP01026,2,80,Yes
EMP01027,4,43,Yes
EMP01028,5,36,Yes
EMP01029,4,52,No
EMP01030,5,28,No
EMP01031,2,70,Yes
EMP01032,4,39,No
EMP01033,4,30,Yes
EMP01034,4,1,No
EMP01035,4,54,Yes
EMP01036,4,17,No
EMP01037,4,55,No
EMP01038,5,23,Yes
EMP01039,4,6,Yes
EMP01040,2,74,No
EMP01041,2,42,Yes
EMP01042,4,35,Yes
EMP01043,4,12,No
EMP01044,4,53,No
EMP01045,5,16,No
EMP01046,4,19,No
EMP01047,4,24,No
EMP01048,5,43,No
EMP01049,5,76,Yes
EMP01050,5,12,Yes
EMP01051,5,80,No
EMP01052,5,4,Yes
EMP01053,3,3,Yes
EMP01054,2,41,Yes
EMP01055,3,74,No
EMP01056,2,19,Yes
EMP01057,3,21,No
EMP01058,3,30,No
EMP01059,3,52,No
EMP01060,3,60,Yes
EMP01061,5,79,No
EMP01062,4,50,No
EMP01063,2,73,Yes
EMP01064,4,77,Yes
EMP01065,2,72,Yes
EMP01066,3,37,Yes
EMP01067,5,15,No
EMP01068,5,63,Yes
EMP01069,2,29,No
EMP01070,5,0,Yes
EMP01071,4,49,Yes
EMP01072,2,62,Yes
